,engine.oxTank.liquid.mass,engine.oxTank.liquid.density,engine.oxTank.liquid.temperature,engine.oxTank.liquid.pressure,engine.oxTank.liquid.enthalpy,engine.oxTank.liquid.internalEnergy,engine.oxTank.liquid.volume,engine.pressTank.pressurantMassFlowRate,engine.pressTank.gas.mass,engine.pressTank.gas.density,engine.pressTank.gas.temperature,engine.pressTank.gas.pressure,engine.pressTank.gas.enthalpy,engine.pressTank.gas.internalEnergy,engine.pressTank.gas.volume,simControl.currentTime
2903,0.17506324718412336,957.0572867023051,270.88313662707924,9307922.34582,157925.61376860816,148200.04929598147,0.0001829182532921639,0.23026396097362886,0.897164960229144,213.77559110055455,202.25635106955949,10897673.858502876,158344.8113767408,107367.64507632401,0.004196760517000001,2.9029999999997913
2904,0.17319451251212337,957.289989524028,270.82914883110635,9307922.34582,157818.31270512735,148095.1123711843,0.0001809216793317112,0.2302655926289975,0.8969346946365151,213.7207236398795,202.22758391318965,10892206.52930587,158319.22972464297,107354.55796141567,0.004196760517000001,2.903999999999791
2905,0.17132577784012337,957.5250987025975,270.77457193646643,9307922.34582,157709.86954938248,147989.05663447085,0.00017892562615043922,0.23026730820991093,0.8967044273283051,213.66585577041755,202.19881606875873,10886741.225589732,158293.65098302503,107341.47059680804,0.004196760517000001,2.904999999999791
2906,0.16945704316812338,957.7626660594426,270.719392959556,9307922.34582,157600.25939139334,147881.85766655247,0.0001769300988368304,0.2302691102253253,0.8964741582180799,213.6109874715731,202.17004752420235,10881277.944564873,158268.07514027145,107328.38297667,0.004196760517000001,2.905999999999791
2907,0.16758830849612338,958.0027451233194,270.6635984827338,9307922.34582,157489.45649382495,147773.4902367323,0.0001749351025863193,0.2302710012823626,0.8962438872167975,213.55611872212944,202.1412782671289,10875816.683383226,158242.50218448177,107315.29509502156,0.004196760517000001,2.906999999999791
2908,0.1657195738241234,958.2453912064706,270.60717463475595,9307922.34582,157377.43425486423,147663.9282664856,0.00017294064270476228,0.23027298409121202,0.8960136142327063,213.50124950022402,202.11250828480652,10870357.439135896,158216.93210345818,107302.20694572799,0.004196760517000001,2.9079999999997908
2909,0.1638508391521234,958.4906614850839,270.55010707009353,9307922.34582,157264.16516898831,147553.1447909716,0.0001709467246120616,0.23027506147033622,0.895783339171236,213.44637978332273,202.08373756414954,10864900.208850734,158191.36488469513,107289.11852249355,0.004196760517000001,2.9089999999997906
2910,0.1619821044801234,958.7386150843626,270.49238094705936,9307922.34582,157149.62078547763,147441.11191833334,0.000168953353845949,0.2302772363519964,0.8955530619348839,213.39150954819272,202.05496609170422,10859444.989489747,158165.80051536555,107276.02981885515,0.004196760517000001,2.9099999999997905
2911,0.1601133698081234,958.9893131685017,270.4339809046583,9307922.34582,157033.7716645211,147327.80078663214,0.00016696053606594287,0.23027951178812867,0.8953227824230958,213.33663877087406,202.02619385363394,10853991.777946418,158140.23898230883,107262.94082817544,0.004196760517000001,2.9109999999997904
2912,0.1582446351361234,959.2428190359469,270.37489103807104,9307922.34582,156916.58733073593,147213.18151824854,0.0001649682770574833,0.2302818909565907,0.8950925005321392,213.28176742664942,201.99742083570334,10848540.57104284,158114.68027201633,107249.85154363564,0.004196760517000001,2.9119999999997903
2913,0.15637590046412342,959.499198220282,270.3150948726751,9307922.34582,156798.03622392518,147097.2231715694,0.0001629765827362605,0.23028437716781122,0.8948622161549714,213.22689549001282,201.96864702326135,10843091.365526702,158089.1243706169,107236.761958228,0.004196760517000001,2.91299999999979
